customer_id,type_of_client,total_ytd_order,total_order_amount_ytd,YTD_amount_negative,total_order_amount_Q4,Q4_amount_negative,sex,marital_status,employment_type,occupation,country_of_origins,age,education,completed_years_of_education,marital_status,relationship_in_household,race
20570589,NULL,223,1138.68,1,533.99,1,1,0,Private,Other-service,United-States,25,12th,8,Never-married,Other-relative,White
23950497,NULL,16,71.80,1,71.80,1,1,0,Private,Craft-repair,United-States,24,12th,8,Never-married,Other-relative,White
25668575,Wholesaler,115,957.64,1,134.22,1,1,0,Self-emp-not-inc,Farming-fishing,United-States,57,Masters,14,Never-married,Not-in-family,White
26991981,NULL,64,255.59,1,0.00,1,1,1,Private,Machine-op-inspct,United-States,51,HS-grad,9,Married-civ-spouse,Husband,Black
27845518,NULL,19,5760.00,1,1440.00,1,1,1,Self-emp-not-inc,Exec-managerial,United-States,37,Some-college,10,Married-civ-spouse,Husband,White
28290216,NULL,1,-8.25,0,0.00,1,1,1,Private,Machine-op-inspct,United-States,26,11th,7,Married-civ-spouse,Husband,White
29609579,NULL,55,259.69,1,259.69,1,1,0,Private,Other-service,Guatemala,24,HS-grad,9,Never-married,Not-in-family,White
29689567,Wholesaler,168,1887.92,1,402.09,1,1,1,Private,Transport-moving,United-States,53,Some-college,10,Married-civ-spouse,Husband,White
30897587,NULL,4,308.34,1,308.34,1,0,0,Private,Adm-clerical,United-States,34,Assoc-acdm,12,Divorced,Own-child,White
31874331,Wholesaler,49,303.85,1,303.85,1,1,1,Private,Prof-specialty,United-States,32,1st-4th,2,Married-civ-spouse,Husband,White
32036330,NULL,52,325.96,1,151.08,1,1,0,Self-emp-not-inc,Prof-specialty,United-States,30,Prof-school,15,Divorced,Not-in-family,White
32504895,NULL,27,110.22,1,110.22,1,1,0,Private,Craft-repair,United-States,22,HS-grad,9,Never-married,Own-child,White
35070547,NULL,31,208.22,1,0.00,1,0,0,Private,Exec-managerial,United-States,46,Some-college,10,Divorced,Not-in-family,White
35334250,Wholesaler,25,349.99,1,0.00,1,0,0,Private,Exec-managerial,United-States,47,Some-college,10,Divorced,Unmarried,White
36112459,NULL,52,4494.00,1,1313.76,1,1,1,Private,Machine-op-inspct,United-States,42,Assoc-voc,11,Married-civ-spouse,Husband,White
36445262,NULL,22,222.54,1,0.00,1,1,0,Private,Adm-clerical,Jamaica,24,HS-grad,9,Never-married,Other-relative,Black
36632502,NULL,13,164.44,1,164.44,1,1,1,Private,Prof-specialty,Germany,61,Prof-school,15,Married-civ-spouse,Husband,White
37464439,Wholesaler,73,616.97,1,277.23,1,1,0,Self-emp-not-inc,Craft-repair,United-States,24,HS-grad,9,Divorced,Not-in-family,White
38888671,Wholesaler,108,1323.34,1,544.75,1,1,1,Private,Sales,United-States,41,Bachelors,13,Married-civ-spouse,Husband,White
41174557,NULL,113,464.06,1,130.88,1,1,0,Private,Prof-specialty,United-States,57,9th,5,Divorced,Not-in-family,White
41180544,NULL,49,96.55,1,0.00,1,1,1,Self-emp-not-inc,Farming-fishing,United-States,60,HS-grad,9,Married-civ-spouse,Husband,White
42803327,NULL,5,40.50,1,0.00,1,0,0,Private,Sales,United-States,24,Some-college,10,Never-married,Not-in-family,White
43042539,NULL,87,946.36,1,443.91,1,1,1,Private,Tech-support,United-States,48,Masters,14,Married-civ-spouse,Husband,White
44218068,NULL,109,1105.62,1,233.75,1,0,0,Private,Other-service,United-States,22,Some-college,10,Never-married,Own-child,White
44223741,Wholesaler,68,509.08,1,509.08,1,1,0,Private,Tech-support,United-States,51,Assoc-acdm,12,Divorced,Not-in-family,White
44351160,NULL,17,187.44,1,187.44,1,1,0,Local-gov,Prof-specialty,United-States,24,Bachelors,13,Never-married,Not-in-family,White
46513836,NULL,23,2352.59,1,40.60,1,0,0,Private,Prof-specialty,United-States,23,Some-college,10,Never-married,Not-in-family,Asian-Pac-Islander
47358834,NULL,37,531.30,1,255.00,1,1,0,Private,Adm-clerical,United-States,23,Some-college,10,Never-married,Not-in-family,White
47705400,NULL,49,481.77,1,94.12,1,0,0,Private,Prof-specialty,United-States,20,Some-college,10,Never-married,Own-child,White
50368625,NULL,14,62.10,1,0.00,1,0,0,Private,Machine-op-inspct,United-States,20,7th-8th,4,Never-married,Own-child,White
52356997,NULL,3,56.30,1,56.30,1,1,0,Private,Machine-op-inspct,United-States,43,Some-college,10,Divorced,Not-in-family,White
53734098,Wholesaler,255,1249.95,1,1140.61,1,1,1,Private,Other-service,Greece,49,5th-6th,3,Married-civ-spouse,Husband,White
54214934,NULL,16,86.13,1,0.00,1,1,0,Private,Other-service,United-States,29,HS-grad,9,Never-married,Not-in-family,White
54527112,Wholesaler,27,87.91,1,87.91,1,1,1,Private,Adm-clerical,India,31,Some-college,10,Married-civ-spouse,Husband,Asian-Pac-Islander
55058579,NULL,17,103.12,1,0.00,1,0,0,Private,Exec-managerial,United-States,28,Masters,14,Never-married,Not-in-family,Black
56679789,NULL,7,132.21,1,0.00,1,1,1,Private,Transport-moving,United-States,45,Some-college,10,Married-civ-spouse,Husband,White
58019377,NULL,17,1047.68,1,-468.32,0,1,1,Private,Craft-repair,United-States,55,5th-6th,3,Married-civ-spouse,Husband,White
58073858,NULL,39,107.31,1,0.00,1,0,0,Private,Prof-specialty,United-States,46,11th,7,Widowed,Unmarried,Black
58427119,NULL,59,483.49,1,0.00,1,1,1,Private,Craft-repair,United-States,59,7th-8th,4,Married-civ-spouse,Husband,White
59631086,Wholesaler,55,513.67,1,214.24,1,1,1,Self-emp-inc,Exec-managerial,United-States,64,HS-grad,9,Married-civ-spouse,Husband,White
61715869,NULL,11,180.89,1,0.00,1,1,0,State-gov,Exec-managerial,United-States,25,Bachelors,13,Never-married,Not-in-family,White
61984219,NULL,27,256.11,1,256.11,1,1,0,Private,Other-service,United-States,35,HS-grad,9,Widowed,Unmarried,Black
62613161,NULL,6135,26472.91,1,12156.80,1,1,1,Private,Craft-repair,United-States,38,HS-grad,9,Married-civ-spouse,Husband,Black
63732459,NULL,7,20.67,1,0.00,1,1,1,Private,Machine-op-inspct,United-States,51,11th,7,Married-civ-spouse,Husband,White
64281137,NULL,91,748.55,1,75.16,1,0,0,Private,Prof-specialty,United-States,51,HS-grad,9,Widowed,Unmarried,Black
65299243,Wholesaler,21,119.43,1,119.43,1,0,0,Local-gov,Prof-specialty,United-States,47,Some-college,10,Divorced,Not-in-family,White
65892563,NULL,34,571.35,1,-23.85,0,0,0,Self-emp-inc,Exec-managerial,United-States,53,11th,7,Widowed,Not-in-family,White
66523275,NULL,86,34722.41,1,8259.53,1,1,1,Private,Craft-repair,United-States,23,Some-college,10,Married-civ-spouse,Husband,White
68321512,NULL,82,1042.88,1,0.00,1,1,1,Private,Machine-op-inspct,Mexico,26,5th-6th,3,Married-civ-spouse,Husband,Other
68714018,NULL,8,10.29,1,0.00,1,0,1,Private,Prof-specialty,United-States,26,Bachelors,13,Married-civ-spouse,Wife,White
69148072,NULL,40,390.31,1,0.00,1,1,1,Private,Handlers-cleaners,United-States,63,Masters,14,Married-civ-spouse,Husband,White
70220578,NULL,93,10359.98,1,3451.25,1,1,1,Self-emp-not-inc,Other-service,United-States,40,HS-grad,9,Married-civ-spouse,Husband,White
70657131,Wholesaler,15,244.88,1,135.60,1,1,1,Self-emp-inc,Sales,India,43,Bachelors,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander
73570126,NULL,65,733.42,1,221.40,1,0,0,Self-emp-not-inc,Other-service,United-States,55,HS-grad,9,Divorced,Other-relative,White
73607302,NULL,178,1553.38,1,453.84,1,1,1,Private,Craft-repair,United-States,42,HS-grad,9,Married-civ-spouse,Husband,White
74790389,NULL,43,469.30,1,0.00,1,1,0,Private,Handlers-cleaners,United-States,58,Some-college,10,Never-married,Own-child,Black
77070999,NULL,40,205.46,1,0.00,1,0,0,State-gov,Other-service,United-States,39,HS-grad,9,Never-married,Unmarried,Black
77253664,NULL,5,84.30,1,0.00,1,1,1,Private,Prof-specialty,United-States,39,HS-grad,9,Married-civ-spouse,Husband,White
78174667,NULL,219,2350.09,1,0.00,1,1,1,Self-emp-not-inc,Farming-fishing,United-States,66,7th-8th,4,Married-civ-spouse,Husband,White
79450243,Wholesaler,17,125.22,1,125.22,1,0,0,Private,Machine-op-inspct,United-States,47,Some-college,10,Divorced,Not-in-family,White
80589534,NULL,3,160.95,1,160.95,1,1,1,Private,Machine-op-inspct,United-States,49,HS-grad,9,Married-civ-spouse,Husband,White
81690158,Wholesaler,477,3980.45,1,1748.10,1,1,1,Private,Sales,United-States,62,Bachelors,13,Married-civ-spouse,Husband,White
81731847,NULL,22,274.90,1,52.00,1,1,0,Private,Farming-fishing,Mexico,24,5th-6th,3,Never-married,Other-relative,Black
82321748,NULL,8,77.14,1,77.14,1,1,0,Private,Machine-op-inspct,United-States,33,HS-grad,9,Divorced,Not-in-family,White
83266444,NULL,71,264.70,1,264.70,1,0,0,Private,Adm-clerical,United-States,33,Assoc-acdm,12,Never-married,Not-in-family,White
83884165,NULL,49,502.55,1,198.40,1,1,0,Private,Transport-moving,Mexico,25,HS-grad,9,Never-married,Unmarried,White
85187559,NULL,167,2210.15,1,872.90,1,1,0,Local-gov,Craft-repair,United-States,33,HS-grad,9,Divorced,Unmarried,White
86476415,NULL,253,2190.50,1,1483.74,1,1,0,Self-emp-not-inc,Sales,United-States,51,Assoc-acdm,12,Separated,Not-in-family,Black
87663360,Personal,33,346.30,1,0.00,1,0,0,Private,Exec-managerial,United-States,37,Bachelors,13,Divorced,Not-in-family,White
89677115,Wholesaler,191,1559.73,1,446.00,1,1,0,Private,Tech-support,United-States,35,Assoc-voc,11,Divorced,Own-child,White
91418617,NULL,255,1625.22,1,471.45,1,1,0,Private,Craft-repair,United-States,45,Bachelors,13,Never-married,Not-in-family,White
93023114,Wholesaler,144,1247.61,1,511.87,1,1,1,Federal-gov,Exec-managerial,United-States,56,HS-grad,9,Married-civ-spouse,Husband,White
95570812,Wholesaler,139,543.74,1,543.74,1,0,1,Private,Prof-specialty,United-States,35,Bachelors,13,Married-spouse-absent,Not-in-family,White
96823716,NULL,239,1946.35,1,2745.87,1,1,1,Private,Craft-repair,China,54,Preschool,1,Married-civ-spouse,Husband,Asian-Pac-Islander
100069779,NULL,7,89.05,1,0.00,1,1,0,Private,Other-service,United-States,28,Some-college,10,Never-married,Own-child,White
103107242,NULL,5,67.30,1,0.00,1,1,1,Private,Exec-managerial,United-States,62,HS-grad,9,Married-civ-spouse,Husband,White
104534483,Personal,4,2.90,1,0.00,1,1,1,Self-emp-not-inc,Prof-specialty,United-States,50,Doctorate,16,Married-civ-spouse,Husband,White
105208252,NULL,191,911.86,1,152.74,1,1,0,Self-emp-not-inc,Farming-fishing,United-States,26,HS-grad,9,Never-married,Own-child,White
108333271,NULL,5,-102.45,0,-102.45,0,1,0,Private,Machine-op-inspct,United-States,41,HS-grad,9,Separated,Unmarried,White
109717642,NULL,84,1477.73,1,255.53,1,0,0,Private,Prof-specialty,United-States,33,Some-college,10,Divorced,Unmarried,White
110971028,NULL,3,157.20,1,0.00,1,1,1,Private,Craft-repair,United-States,60,Some-college,10,Married-civ-spouse,Husband,White
113967942,Wholesaler,135,606.62,1,528.87,1,0,0,Private,Other-service,United-States,25,Assoc-voc,11,Never-married,Unmarried,Amer-Indian-Eskimo
114243992,NULL,8,195.30,1,0.00,1,1,1,Private,Handlers-cleaners,United-States,34,Some-college,10,Married-civ-spouse,Husband,White
115110551,NULL,63,407.05,1,0.00,1,0,0,Self-emp-not-inc,Prof-specialty,United-States,64,Some-college,10,Never-married,Not-in-family,White
115953798,NULL,6,78.15,1,78.15,1,1,0,Private,Sales,United-States,23,Some-college,10,Never-married,Not-in-family,White
116005224,NULL,37,185.42,1,0.00,1,0,1,Private,Sales,United-States,39,Some-college,10,Married-civ-spouse,Wife,White
116365079,NULL,145,876.31,1,876.31,1,0,0,Private,Protective-serv,United-States,23,Some-college,10,Never-married,Own-child,Black
117284334,Wholesaler,52,273.87,1,111.88,1,1,0,State-gov,Exec-managerial,United-States,43,Some-college,10,Divorced,Unmarried,White
119280524,NULL,10,115.34,1,115.34,1,0,0,Private,Sales,United-States,24,Some-college,10,Never-married,Own-child,White
119404256,NULL,1,34.00,1,0.00,1,1,0,Private,Machine-op-inspct,United-States,33,HS-grad,9,Never-married,Unmarried,White
122332583,NULL,42,325.88,1,0.00,1,1,1,Private,Handlers-cleaners,United-States,52,10th,6,Married-civ-spouse,Husband,White
123858366,NULL,1,-16.95,0,0.00,1,0,1,Private,Other-service,United-States,26,10th,6,Married-civ-spouse,Wife,White
123902728,NULL,15,470.00,1,470.00,1,0,0,Private,Prof-specialty,United-States,61,Bachelors,13,Never-married,Not-in-family,White
125853946,NULL,115,950.34,1,0.00,1,0,1,Federal-gov,Prof-specialty,United-States,43,Assoc-acdm,12,Married-civ-spouse,Wife,Black
127597586,NULL,4,54.17,1,54.17,1,1,1,Private,Craft-repair,United-States,49,Some-college,10,Married-civ-spouse,Husband,Black
130450135,NULL,111,496.85,1,277.08,1,0,0,Private,Prof-specialty,United-States,33,Bachelors,13,Never-married,Not-in-family,White
131650051,NULL,155,1561.48,1,0.00,1,1,1,Local-gov,Other-service,United-States,50,HS-grad,9,Married-civ-spouse,Husband,Black
132961920,NULL,12,24.33,1,24.33,1,1,1,Private,Exec-managerial,United-States,43,Bachelors,13,Married-civ-spouse,Husband,White
133396167,Personal,4,59.40,1,49.50,1,0,0,Private,Prof-specialty,England,42,Bachelors,13,Never-married,Own-child,White
135505320,NULL,15,88.31,1,88.31,1,0,0,Private,Sales,United-States,54,HS-grad,9,Divorced,Not-in-family,White
138239666,NULL,38,358.38,1,0.00,1,1,1,Private,Machine-op-inspct,United-States,46,HS-grad,9,Married-civ-spouse,Husband,White
142757893,NULL,9,39.24,1,0.00,1,0,1,Private,Adm-clerical,United-States,37,HS-grad,9,Married-civ-spouse,Wife,White
143260775,Wholesaler,21,249.80,1,249.80,1,0,0,Private,Exec-managerial,United-States,39,Some-college,10,Never-married,Own-child,White
143479181,Wholesaler,63,423.15,1,259.54,1,1,1,Private,Sales,United-States,38,Bachelors,13,Married-civ-spouse,Husband,White
143997197,NULL,274,2258.46,1,608.15,1,1,1,Private,Other-service,United-States,34,HS-grad,9,Married-civ-spouse,Husband,White
145809630,NULL,20,199.47,1,0.00,1,0,1,Self-emp-not-inc,Prof-specialty,United-States,33,Bachelors,13,Married-civ-spouse,Wife,White
146372868,NULL,117,1284.36,1,0.00,1,1,0,Private,Transport-moving,United-States,23,10th,6,Never-married,Own-child,Asian-Pac-Islander
148827881,NULL,114,535.50,1,0.00,1,0,0,Private,Exec-managerial,United-States,47,HS-grad,9,Divorced,Unmarried,White
149411694,NULL,65,515.10,1,19.16,1,1,1,Federal-gov,Craft-repair,United-States,33,HS-grad,9,Married-civ-spouse,Husband,White
149887968,NULL,8,124.57,1,0.00,1,1,1,Private,Machine-op-inspct,United-States,61,9th,5,Married-civ-spouse,Husband,White
151998766,Wholesaler,340,2647.09,1,821.46,1,1,0,Private,Tech-support,United-States,40,Assoc-acdm,12,Never-married,Not-in-family,Black
154621564,NULL,8,190.76,1,0.00,1,0,1,Private,Prof-specialty,United-States,40,Doctorate,16,Married-civ-spouse,Wife,White
154671914,NULL,8,24.85,1,13.25,1,0,1,Private,Adm-clerical,United-States,28,Some-college,10,Married-civ-spouse,Wife,White
155605602,NULL,86,637.47,1,222.48,1,0,0,Private,Priv-house-serv,United-States,53,HS-grad,9,Divorced,Not-in-family,White
157540725,Wholesaler,237,1281.83,1,438.53,1,0,1,Private,Adm-clerical,United-States,40,HS-grad,9,Married-spouse-absent,Own-child,White
157585188,NULL,125,572.75,1,167.23,1,0,1,Private,Adm-clerical,United-States,25,Some-college,10,Married-spouse-absent,Unmarried,White
157776813,NULL,144,490.65,1,490.65,1,1,1,Self-emp-not-inc,Farming-fishing,United-States,67,7th-8th,4,Married-civ-spouse,Husband,White
158822963,Wholesaler,38,531.12,1,531.12,1,0,0,Private,Tech-support,United-States,34,Assoc-voc,11,Never-married,Not-in-family,White
159883146,NULL,524,2441.62,1,2012.67,1,1,1,Private,Craft-repair,United-States,39,HS-grad,9,Married-civ-spouse,Husband,White
160321480,Wholesaler,16,92.86,1,92.86,1,0,0,Federal-gov,Exec-managerial,United-States,53,Some-college,10,Separated,Not-in-family,White
161043500,NULL,2,-21.41,0,-21.41,0,1,1,Federal-gov,Craft-repair,United-States,57,HS-grad,9,Married-civ-spouse,Husband,Black
162492885,NULL,56,292.24,1,0.00,1,0,1,Local-gov,Adm-clerical,United-States,29,Some-college,10,Married-spouse-absent,Unmarried,White
164432861,NULL,12,98.70,1,0.00,1,0,0,Private,Machine-op-inspct,United-States,42,HS-grad,9,Widowed,Not-in-family,White
164579033,Wholesaler,201,1093.22,1,941.59,1,1,1,Self-emp-not-inc,Prof-specialty,United-States,67,Doctorate,16,Married-civ-spouse,Husband,White
165184983,Wholesaler,195,1263.89,1,-23.10,0,0,1,Private,Sales,India,31,11th,7,Married-spouse-absent,Own-child,Asian-Pac-Islander
165627033,NULL,127,1096.36,1,0.00,1,0,0,Private,Sales,United-States,31,10th,6,Divorced,Other-relative,White
165631492,Wholesaler,272,4643.88,1,0.00,1,0,0,Private,Other-service,United-States,47,HS-grad,9,Separated,Not-in-family,White
167816376,Wholesaler,133,1028.89,1,278.20,1,0,0,Federal-gov,Adm-clerical,United-States,42,Assoc-voc,11,Divorced,Unmarried,Black
169633525,NULL,47,255.94,1,94.27,1,1,0,Private,Farming-fishing,United-States,20,Some-college,10,Never-married,Own-child,White
169759447,NULL,2,31.65,1,31.65,1,1,1,Private,Tech-support,Philippines,39,Assoc-voc,11,Married-civ-spouse,Husband,Asian-Pac-Islander
170853963,Wholesaler,84,960.28,1,357.42,1,1,1,Local-gov,Prof-specialty,United-States,48,Bachelors,13,Married-civ-spouse,Husband,White
170893651,NULL,2,3.26,1,0.00,1,1,1,Private,Other-service,United-States,28,HS-grad,9,Married-civ-spouse,Husband,Other
173623953,NULL,13,304.30,1,0.00,1,1,1,Private,Machine-op-inspct,Mexico,46,5th-6th,3,Married-civ-spouse,Husband,White
173759716,NULL,6,2203.20,1,3794.40,1,0,0,Private,Exec-managerial,United-States,46,Assoc-voc,11,Never-married,Own-child,White
176152788,NULL,19,280.36,1,0.00,1,1,1,Self-emp-not-inc,Exec-managerial,United-States,41,Some-college,10,Married-civ-spouse,Husband,White
176454878,NULL,14,349.63,1,349.63,1,1,1,Private,Handlers-cleaners,Poland,30,Some-college,10,Married-civ-spouse,Husband,White
176640869,Wholesaler,76,2058.09,1,407.07,1,0,0,Private,Other-service,United-States,37,HS-grad,9,Divorced,Not-in-family,Black
177361103,Personal,15,55.62,1,-4.83,0,0,0,Private,Sales,United-States,23,Bachelors,13,Never-married,Not-in-family,White
179296434,NULL,53,673.92,1,342.71,1,0,0,Private,Other-service,United-States,52,9th,5,Separated,Not-in-family,Black
180175503,Wholesaler,95,567.40,1,199.46,1,1,1,Local-gov,Adm-clerical,Puerto-Rico,47,12th,8,Married-civ-spouse,Husband,White
181395061,Personal,15,229.88,1,64.68,1,1,0,Private,Prof-specialty,United-States,43,Some-college,10,Separated,Not-in-family,Black
181907664,NULL,63,485.17,1,485.17,1,0,0,Private,Other-service,United-States,23,Some-college,10,Never-married,Own-child,White
182810777,NULL,11,34.96,1,0.00,1,0,0,Local-gov,Adm-clerical,United-States,27,Bachelors,13,Never-married,Own-child,Asian-Pac-Islander
183367846,NULL,183,1201.63,1,199.65,1,0,0,Private,Sales,United-States,42,HS-grad,9,Never-married,Not-in-family,White
184385499,Wholesaler,165,959.85,1,468.77,1,1,0,Self-emp-not-inc,Craft-repair,United-States,35,Assoc-acdm,12,Never-married,Not-in-family,White
184859772,NULL,14,187.20,1,43.94,1,0,0,Private,Other-service,United-States,28,HS-grad,9,Never-married,Not-in-family,White
185557148,Wholesaler,29,282.42,1,181.36,1,1,0,Local-gov,Adm-clerical,United-States,33,Assoc-voc,11,Never-married,Own-child,White
186410776,NULL,239,2125.63,1,466.15,1,1,1,State-gov,Farming-fishing,United-States,67,Some-college,10,Married-civ-spouse,Husband,White
186965300,NULL,23,397.00,1,0.00,1,1,1,Private,Exec-managerial,United-States,51,Masters,14,Married-civ-spouse,Husband,White
188261703,Wholesaler,10,102.65,1,70.55,1,1,0,Private,Handlers-cleaners,United-States,32,HS-grad,9,Divorced,Not-in-family,White
188540150,Wholesaler,54,314.96,1,314.96,1,1,0,Private,Other-service,United-States,61,10th,6,Divorced,Not-in-family,White
188779142,NULL,229,1582.47,1,509.82,1,0,1,Private,Exec-managerial,United-States,22,Some-college,10,Married-civ-spouse,Wife,White
188959230,Wholesaler,157,1105.08,1,227.21,1,0,0,Private,Other-service,United-States,56,Some-college,10,Divorced,Not-in-family,White
192142895,NULL,10,31.09,1,0.00,1,1,0,Private,Handlers-cleaners,United-States,22,Assoc-acdm,12,Never-married,Own-child,White
193265286,NULL,13,182.31,1,0.00,1,0,0,Private,Adm-clerical,United-States,23,HS-grad,9,Never-married,Not-in-family,White
195282872,NULL,64,427.33,1,208.03,1,0,0,Private,Sales,United-States,30,11th,7,Separated,Not-in-family,White
196073691,Wholesaler,71,562.47,1,127.60,1,1,0,Local-gov,Prof-specialty,United-States,40,Bachelors,13,Never-married,Not-in-family,White
196203757,NULL,36,353.16,1,0.00,1,1,1,Private,Machine-op-inspct,United-States,48,HS-grad,9,Married-civ-spouse,Husband,White
198522640,NULL,87,855.62,1,0.00,1,1,0,Private,Adm-clerical,United-States,24,Bachelors,13,Never-married,Own-child,White
198617261,NULL,17,242.60,1,242.60,1,1,1,Private,Craft-repair,United-States,37,11th,7,Married-civ-spouse,Husband,White
200022368,NULL,30,129.25,1,0.00,1,1,1,Self-emp-not-inc,Exec-managerial,United-States,32,10th,6,Married-civ-spouse,Husband,White
200735891,NULL,5,-21.85,0,0.00,1,1,1,Self-emp-not-inc,Adm-clerical,United-States,61,Some-college,10,Married-civ-spouse,Husband,White
202546788,NULL,53,323.54,1,323.54,1,1,1,Self-emp-not-inc,Sales,United-States,41,Bachelors,13,Married-civ-spouse,Husband,White
202554903,NULL,137,716.27,1,159.23,1,1,1,Private,Transport-moving,United-States,32,HS-grad,9,Married-civ-spouse,Husband,White
202616221,NULL,149,1478.02,1,0.00,1,1,1,Self-emp-inc,Prof-specialty,United-States,51,Doctorate,16,Married-civ-spouse,Husband,White
203327166,NULL,11,204.70,1,0.00,1,1,0,Private,Machine-op-inspct,United-States,60,7th-8th,4,Divorced,Not-in-family,White
203737763,Wholesaler,367,1513.85,1,1304.67,1,1,0,Private,Sales,South,31,Some-college,10,Separated,Unmarried,Asian-Pac-Islander
204375348,Personal,228,1110.78,1,258.95,1,0,0,Private,Machine-op-inspct,United-States,23,Bachelors,13,Never-married,Own-child,White
204963293,NULL,21,3278.70,1,2559.00,1,1,1,Private,Sales,United-States,20,HS-grad,9,Married-civ-spouse,Husband,White
205427451,NULL,16,203.95,1,-2.55,0,0,0,Private,Adm-clerical,United-States,42,Some-college,10,Divorced,Own-child,Black
205625377,NULL,22,94.36,1,0.00,1,1,1,Private,Prof-specialty,United-States,31,Assoc-acdm,12,Married-civ-spouse,Husband,White
206697572,NULL,18,183.24,1,0.00,1,1,1,Self-emp-not-inc,Craft-repair,United-States,79,Some-college,10,Married-civ-spouse,Husband,White
207863001,NULL,14,196.23,1,0.00,1,0,0,Federal-gov,Adm-clerical,United-States,60,HS-grad,9,Never-married,Not-in-family,Black
207866910,NULL,7,113.60,1,113.60,1,1,0,Private,Other-service,Peru,41,HS-grad,9,Never-married,Own-child,White
208748565,NULL,262,857.78,1,202.65,1,0,1,Private,Adm-clerical,United-States,34,Assoc-acdm,12,Married-civ-spouse,Wife,White
209401930,Wholesaler,27,273.16,1,273.16,1,0,0,Private,Adm-clerical,United-States,23,Assoc-voc,11,Never-married,Not-in-family,White
210228933,NULL,69,653.92,1,0.00,1,0,0,Local-gov,Prof-specialty,United-States,41,Bachelors,13,Divorced,Unmarried,White
210255410,NULL,25,207.83,1,0.00,1,0,0,State-gov,Prof-specialty,United-States,29,Masters,14,Never-married,Not-in-family,White
